"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count"
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",LatencyUtils-2.0.3.jar,/Users/user/.m2/repository/org/latencyutils/LatencyUtils/2.0.3/LatencyUtils-2.0.3.jar,LatencyUtils is a package that provides latency recording and reporting utilities.,"Public Domain, per Creative Commons CC0: http://creativecommons.org/publicdomain/zero/1.0/",2ad12e1ef7614cecfb0483fa9ac6da73,769c0b82cb2421c8256300e907298a9410a2a3d3,pkg:maven/org.latencyutils/LatencyUtils@2.0.3,cpe:2.3:a:utils_project:utils:2.0.3:*:*:*:*:*:*:*,CVE-2021-4277,CWE-330 Use of Insufficiently Random Values,"A vulnerability, which was classified as problematic, has been found in fredsmith utils. This issue affects some unknown processing of the file screenshot_sync of the component Filename Handler. The manipulation leads to predictable from observable state. The name of the patch is dbab1b66955eeb3d76b34612b358307f5c4e3944. It is recommended to apply a patch to fix this issue. The identifier VDB-216749 was assigned to this vulnerability.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,HIGH,16
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",commons-io-2.6.jar,/Users/user/.m2/repository/commons-io/commons-io/2.6/commons-io-2.6.jar,"The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more.",https://www.apache.org/licenses/LICENSE-2.0.txt,467c2a1f64319c99b5faf03fc78572af,815893df5f31da2ece4040fe0a12fd44b577afaf,pkg:maven/commons-io/commons-io@2.6,"cpe:2.3:a:apache:commons_io:2.6:*:*:*:*:*:*:*, cpe:2.3:a:apache:commons_net:2.6:*:*:*:*:*:*:*",CVE-2021-29425,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,MEDIUM,4.8,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,HIGH,40
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",commons-io-2.6.jar,/Users/user/.m2/repository/commons-io/commons-io/2.6/commons-io-2.6.jar,"The Apache Commons IO library contains utility classes, stream implementations, file filters, file comparators, endian transformation classes, and much more.",https://www.apache.org/licenses/LICENSE-2.0.txt,467c2a1f64319c99b5faf03fc78572af,815893df5f31da2ece4040fe0a12fd44b577afaf,pkg:maven/commons-io/commons-io@2.6,"cpe:2.3:a:apache:commons_io:2.6:*:*:*:*:*:*:*, cpe:2.3:a:apache:commons_net:2.6:*:*:*:*:*:*:*",CVE-2021-37533,CWE-20 Improper Input Validation,"Prior to Apache Commons Net 3.9.0, Net's FTP client trusts the host from PASV response by default. A malicious server can redirect the Commons Net code to use a different host, but the user has to connect to the malicious server in the first place. This may lead to leakage of information about services running on the private network of the client. The default in version 3.9.0 is now false to ignore such hosts, as cURL does. See https://issues.apache.org/jira/browse/NET-711.",NVD,"","","",MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,HIGH,40
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",gson-2.8.6.jar,/Users/user/.m2/repository/com/google/code/gson/gson/2.8.6/gson-2.8.6.jar,Gson JSON library,"",310f5841387183aca7900fead98d4858,9180733b7df8542621dc12e21e87557e8c99b8cb,pkg:maven/com.google.code.gson/gson@2.8.6,cpe:2.3:a:google:gson:2.8.6:*:*:*:*:*:*:*,CVE-2022-25647,CWE-502 Deserialization of Untrusted Data,"The package com.google.code.gson:gson before 2.8.9 are vulnerable to Deserialization of Untrusted Data via the writeReplace() method in internal classes, which may lead to DoS attacks.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,29
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",jackson-core-2.11.2.jar,/Users/user/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.11.2/jackson-core-2.11.2.jar,"Core Jackson processing abstractions (aka Streaming API), implementation for JSON","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",1cf7bf96372fd34cb4a450f19d8e706b,bc022ab0f0c83c07f9c52c5ab9a6a4932b15cc35,pkg:maven/com.fasterxml.jackson.core/jackson-core@2.11.2,"cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:json-java_project:json-java:2.11.2:*:*:*:*:*:*:*",CVE-2022-45688,CWE-787 Out-of-bounds Write,A stack overflow in the XML.toJSONObject component of hutool-json v5.8.10 allows attackers to cause a Denial of Service (DoS) via crafted JSON or XML data.,NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,49
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",jackson-core-2.11.2.jar,/Users/user/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.11.2/jackson-core-2.11.2.jar,"Core Jackson processing abstractions (aka Streaming API), implementation for JSON","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",1cf7bf96372fd34cb4a450f19d8e706b,bc022ab0f0c83c07f9c52c5ab9a6a4932b15cc35,pkg:maven/com.fasterxml.jackson.core/jackson-core@2.11.2,"cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:json-java_project:json-java:2.11.2:*:*:*:*:*:*:*",CVE-2023-5072,CWE-770 Allocation of Resources Without Limits or Throttling,Denial of Service  in JSON-Java versions up to and including 20230618.  A bug in the parser means that an input string of modest size can lead to indefinite amounts of memory being used.,NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,49
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",jackson-databind-2.11.2.jar,/Users/user/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.11.2/jackson-databind-2.11.2.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",14fd0effa4d1d3e09edb36423be82aff,ee08bbd8975dde844307fe8309dfcd5ec7ee129d,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.11.2,"cpe:2.3:a:fasterxml:jackson-databind:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*",CVE-2020-36518,CWE-787 Out-of-bounds Write,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a large depth of nested objects.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,43
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",jackson-databind-2.11.2.jar,/Users/user/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.11.2/jackson-databind-2.11.2.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",14fd0effa4d1d3e09edb36423be82aff,ee08bbd8975dde844307fe8309dfcd5ec7ee129d,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.11.2,"cpe:2.3:a:fasterxml:jackson-databind:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*",CVE-2021-46877,CWE-770 Allocation of Resources Without Limits or Throttling,jackson-databind 2.10.x through 2.12.x before 2.12.6 and 2.13.x before 2.13.1 allows attackers to cause a denial of service (2 GB transient heap usage per read) in uncommon situations involving JsonNode JDK serialization.,NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,43
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",jackson-databind-2.11.2.jar,/Users/user/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.11.2/jackson-databind-2.11.2.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",14fd0effa4d1d3e09edb36423be82aff,ee08bbd8975dde844307fe8309dfcd5ec7ee129d,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.11.2,"cpe:2.3:a:fasterxml:jackson-databind:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*",CVE-2022-42003,CWE-502 Deserialization of Untrusted Data,"In FasterXML jackson-databind before versions 2.13.4.1 and 2.12.17.1, resource exhaustion can occur because of a lack of a check in primitive value deserializers to avoid deep wrapper array nesting, when the UNWRAP_SINGLE_VALUE_ARRAYS feature is enabled.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,43
spring-boot-demo,"Thu, 1 Aug 2024 01:25:04 -0500",jackson-databind-2.11.2.jar,/Users/user/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.11.2/jackson-databind-2.11.2.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",14fd0effa4d1d3e09edb36423be82aff,ee08bbd8975dde844307fe8309dfcd5ec7ee129d,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.11.2,"cpe:2.3:a:fasterxml:jackson-databind:2.11.2:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.11.2:*:*:*:*:*:*:*",CVE-2022-42004,CWE-502 Deserialization of Untrusted Data,"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a check in BeanDeserializer._deserializeFromArray to prevent use of deeply nested arrays. An application is vulnerable only with certain customized choices for deserialization.",NVD,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,43
